from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
FRA,AUT,2016,39,35,4,2010s,FRA-AUT,Net flow to destination,Very Large
NPL,SWE,2020,4,1,3,2020s,NPL-SWE,Net flow to destination,Large
NLD,CHN,2009,38,49,-11,2000s,NLD-CHN,Net flow back to origin,Very Large
IRQ,CHN,2019,6,18,-12,2010s,IRQ-CHN,Net flow back to origin,Large
PRT,CHN,2019,11,6,5,2010s,PRT-CHN,Net flow to destination,Very Large
AUT,CZE,2022,23,24,-1,2020s,AUT-CZE,Net flow back to origin,Very Large
CMR,ZAF,2019,8,6,2,2010s,CMR-ZAF,Net flow to destination,Large
ZAF,CMR,2020,17,6,11,2020s,ZAF-CMR,Net flow to destination,Very Large
ZAF,FRA,2022,21,15,6,2020s,ZAF-FRA,Net flow to destination,Very Large
CHN,RUS,2019,29,49,-20,2010s,CHN-RUS,Net flow back to origin,Very Large
NLD,SAU,2022,11,10,1,2020s,NLD-SAU,Net flow to destination,Very Large
ESP,PRI,2016,8,7,1,2010s,ESP-PRI,Net flow to destination,Large
ITA,PHL,2023,1,1,0,2020s,ITA-PHL,Balanced,Small
ZAF,IRL,2023,6,1,5,2020s,ZAF-IRL,Net flow to destination,Large
MAR,ITA,2022,5,5,0,2020s,MAR-ITA,Balanced,Large
DEU,IRN,2023,35,82,-47,2020s,DEU-IRN,Net flow back to origin,Very Large
HKG,NOR,2021,2,2,0,2020s,HKG-NOR,Balanced,Medium
IND,ITA,2020,55,48,7,2020s,IND-ITA,Net flow to destination,Very Large
NLD,HKG,2010,3,6,-3,2010s,NLD-HKG,Net flow back to origin,Medium
JPN,IND,2005,54,63,-9,2000s,JPN-IND,Net flow back to origin,Very Large
CHL,MEX,2013,13,29,-16,2010s,CHL-MEX,Net flow back to origin,Very Large
UGA,NOR,2018,6,6,0,2010s,UGA-NOR,Balanced,Large
PRK,CHN,2019,8,15,-7,2010s,PRK-CHN,Net flow back to origin,Large
CHN,PRK,2022,12,10,2,2020s,CHN-PRK,Net flow to destination,Very Large
SWE,TUR,2017,9,27,-18,2010s,SWE-TUR,Net flow back to origin,Large
