from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
ARG,GTM,2022,1,0,1,2020s,ARG-GTM,Net flow to destination,Small
UNKNOWN,TWN,2021,46,0,46,2020s,UNKNOWN-TWN,Net flow to destination,Very Large
GEO,GRC,2003,1,0,1,2000s,GEO-GRC,Net flow to destination,Small
USA,VIR,2017,3,0,3,2010s,USA-VIR,Net flow to destination,Medium
SEN,MRT,2010,1,0,1,2010s,SEN-MRT,Net flow to destination,Small
CAN,KEN,2004,5,0,5,2000s,CAN-KEN,Net flow to destination,Large
HND,UNKNOWN,2001,2,0,2,2000s,HND-UNKNOWN,Net flow to destination,Medium
NIC,FRA,2010,2,0,2,2010s,NIC-FRA,Net flow to destination,Medium
FRA,TGO,2012,3,0,3,2010s,FRA-TGO,Net flow to destination,Medium
BEL,MTQ,2010,3,0,3,2010s,BEL-MTQ,Net flow to destination,Medium
HUN,UKR,2002,3,0,3,2000s,HUN-UKR,Net flow to destination,Medium
BRA,LBN,2005,1,0,1,2000s,BRA-LBN,Net flow to destination,Small
LBY,UNKNOWN,1999,7,0,7,1990s,LBY-UNKNOWN,Net flow to destination,Large
MUS,UNKNOWN,2004,9,0,9,2000s,MUS-UNKNOWN,Net flow to destination,Large
LTU,ITA,2001,1,0,1,2000s,LTU-ITA,Net flow to destination,Small
BEL,GHA,2009,1,0,1,2000s,BEL-GHA,Net flow to destination,Small
MWI,GHA,2010,1,0,1,2010s,MWI-GHA,Net flow to destination,Small
GHA,ZMB,2015,1,0,1,2010s,GHA-ZMB,Net flow to destination,Small
UNKNOWN,RWA,2002,11,0,11,2000s,UNKNOWN-RWA,Net flow to destination,Very Large
RWA,GAB,2009,1,0,1,2000s,RWA-GAB,Net flow to destination,Small
GAB,COG,2012,3,0,3,2010s,GAB-COG,Net flow to destination,Medium
BGR,OMN,2016,1,0,1,2010s,BGR-OMN,Net flow to destination,Small
LKA,TWN,1999,1,0,1,1990s,LKA-TWN,Net flow to destination,Small
PRY,MEX,2011,2,0,2,2010s,PRY-MEX,Net flow to destination,Medium
ZAF,HTI,2009,1,0,1,2000s,ZAF-HTI,Net flow to destination,Small
GTM,GBR,2003,1,0,1,2000s,GTM-GBR,Net flow to destination,Small
PHL,OMN,2008,1,0,1,2000s,PHL-OMN,Net flow to destination,Small
UNKNOWN,TCD,2000,4,0,4,2000s,UNKNOWN-TCD,Net flow to destination,Large
BRA,ARM,2006,1,0,1,2000s,BRA-ARM,Net flow to destination,Small
NGA,JPN,1999,4,0,4,1990s,NGA-JPN,Net flow to destination,Large
CMR,DNK,2012,1,0,1,2010s,CMR-DNK,Net flow to destination,Small
CHE,KAZ,2004,1,0,1,2000s,CHE-KAZ,Net flow to destination,Small
BFA,ETH,2001,1,0,1,2000s,BFA-ETH,Net flow to destination,Small
CAF,FRA,2001,2,0,2,2000s,CAF-FRA,Net flow to destination,Medium
COL,PER,2004,2,0,2,2000s,COL-PER,Net flow to destination,Medium
BLR,AZE,2021,1,0,1,2020s,BLR-AZE,Net flow to destination,Small
ETH,NGA,2014,2,0,2,2010s,ETH-NGA,Net flow to destination,Medium
JOR,ESP,2001,2,0,2,2000s,JOR-ESP,Net flow to destination,Medium
ISL,CHE,2021,2,0,2,2020s,ISL-CHE,Net flow to destination,Medium
MLI,UNKNOWN,2003,2,0,2,2000s,MLI-UNKNOWN,Net flow to destination,Medium
ITA,LUX,2008,1,0,1,2000s,ITA-LUX,Net flow to destination,Small
BEL,IRL,1998,4,0,4,1990s,BEL-IRL,Net flow to destination,Large
SOM,KEN,2012,1,0,1,2010s,SOM-KEN,Net flow to destination,Small
ITA,BWA,2014,1,0,1,2010s,ITA-BWA,Net flow to destination,Small
TTO,CYM,1998,1,0,1,1990s,TTO-CYM,Net flow to destination,Small
DOM,USA,2000,3,0,3,2000s,DOM-USA,Net flow to destination,Medium
HUN,HRV,2002,1,0,1,2000s,HUN-HRV,Net flow to destination,Small
BEL,RWA,2011,6,0,6,2010s,BEL-RWA,Net flow to destination,Large
ESP,COG,2007,1,0,1,2000s,ESP-COG,Net flow to destination,Small
ARG,ARE,2007,1,0,1,2000s,ARG-ARE,Net flow to destination,Small
JPN,GUM,2010,1,0,1,2010s,JPN-GUM,Net flow to destination,Small
ITA,LUX,2001,1,0,1,2000s,ITA-LUX,Net flow to destination,Small
BGR,SDN,1998,1,0,1,1990s,BGR-SDN,Net flow to destination,Small
ETH,RWA,2017,1,0,1,2010s,ETH-RWA,Net flow to destination,Small
GNB,NAM,2018,1,0,1,2010s,GNB-NAM,Net flow to destination,Small
PHL,TWN,2001,2,0,2,2000s,PHL-TWN,Net flow to destination,Medium
IND,NGA,2024,1,0,1,2020s,IND-NGA,Net flow to destination,Small
PRT,HKG,2003,1,0,1,2000s,PRT-HKG,Net flow to destination,Small
CHE,KOR,1997,3,0,3,1990s,CHE-KOR,Net flow to destination,Medium
GRC,CHN,2000,1,0,1,2000s,GRC-CHN,Net flow to destination,Small
NLD,JOR,2018,2,0,2,2010s,NLD-JOR,Net flow to destination,Medium
UNKNOWN,GIB,2004,3,0,3,2000s,UNKNOWN-GIB,Net flow to destination,Medium
ITA,NIC,1998,4,0,4,1990s,ITA-NIC,Net flow to destination,Large
IDN,PER,2023,1,0,1,2020s,IDN-PER,Net flow to destination,Small
MCO,SVK,2007,1,0,1,2000s,MCO-SVK,Net flow to destination,Small
CHE,TZA,1998,1,0,1,1990s,CHE-TZA,Net flow to destination,Small
ZAF,NOR,1998,3,0,3,1990s,ZAF-NOR,Net flow to destination,Medium
MYS,BRA,2006,1,0,1,2000s,MYS-BRA,Net flow to destination,Small
IRQ,ARE,2013,3,0,3,2010s,IRQ-ARE,Net flow to destination,Medium
USA,CCK,2012,1,0,1,2010s,USA-CCK,Net flow to destination,Small
UNKNOWN,KGZ,2005,13,0,13,2000s,UNKNOWN-KGZ,Net flow to destination,Very Large
ETH,TTO,2011,1,0,1,2010s,ETH-TTO,Net flow to destination,Small
TUN,KWT,2005,2,0,2,2000s,TUN-KWT,Net flow to destination,Medium
ESP,SGP,1998,1,0,1,1990s,ESP-SGP,Net flow to destination,Small
SYR,RUS,2007,1,0,1,2000s,SYR-RUS,Net flow to destination,Small
IRN,SWZ,2012,1,0,1,2010s,IRN-SWZ,Net flow to destination,Small
BEL,LBY,2007,1,0,1,2000s,BEL-LBY,Net flow to destination,Small
CAF,UNKNOWN,2000,2,0,2,2000s,CAF-UNKNOWN,Net flow to destination,Medium
UNKNOWN,MHL,1995,1,0,1,1990s,UNKNOWN-MHL,Net flow to destination,Small
UNKNOWN,ASM,2000,2,0,2,2000s,UNKNOWN-ASM,Net flow to destination,Medium
GMB,TZA,2020,1,0,1,2020s,GMB-TZA,Net flow to destination,Small
UNKNOWN,RWA,2005,20,0,20,2000s,UNKNOWN-RWA,Net flow to destination,Very Large
KOR,ISR,2002,3,0,3,2000s,KOR-ISR,Net flow to destination,Medium
JOR,NPL,2009,1,0,1,2000s,JOR-NPL,Net flow to destination,Small
SLV,USA,2008,2,0,2,2000s,SLV-USA,Net flow to destination,Medium
CHN,ARE,2010,2,0,2,2010s,CHN-ARE,Net flow to destination,Medium
FIN,JOR,2017,1,0,1,2010s,FIN-JOR,Net flow to destination,Small
AUS,BLR,2017,1,0,1,2010s,AUS-BLR,Net flow to destination,Small
POL,SVN,2008,2,2,0,2000s,POL-SVN,Balanced,Medium
USA,MYS,1998,9,5,4,1990s,USA-MYS,Net flow to destination,Large
NOR,ROU,2009,2,2,0,2000s,NOR-ROU,Balanced,Medium
TUR,NZL,2012,3,2,1,2010s,TUR-NZL,Net flow to destination,Medium
ZAF,THA,2013,2,2,0,2010s,ZAF-THA,Balanced,Medium
SGP,VNM,2016,8,3,5,2010s,SGP-VNM,Net flow to destination,Large
DNK,NZL,2014,3,10,-7,2010s,DNK-NZL,Net flow back to origin,Medium
CHL,NIC,2015,1,1,0,2010s,CHL-NIC,Balanced,Small
LVA,SWE,2018,3,4,-1,2010s,LVA-SWE,Net flow back to origin,Medium
DEU,GAB,2018,9,2,7,2010s,DEU-GAB,Net flow to destination,Large
GAB,GBR,2017,2,1,1,2010s,GAB-GBR,Net flow to destination,Medium
BMU,USA,2009,6,2,4,2000s,BMU-USA,Net flow to destination,Large
SWZ,CHE,2006,1,1,0,2000s,SWZ-CHE,Balanced,Small
PRY,USA,2019,2,5,-3,2010s,PRY-USA,Net flow back to origin,Medium
NZL,LKA,2013,2,6,-4,2010s,NZL-LKA,Net flow back to origin,Medium
AZE,USA,2014,3,5,-2,2010s,AZE-USA,Net flow back to origin,Medium
MEX,MAR,2013,2,1,1,2010s,MEX-MAR,Net flow to destination,Medium
ZAF,FIN,2014,2,6,-4,2010s,ZAF-FIN,Net flow back to origin,Medium
PER,CHN,2017,1,1,0,2010s,PER-CHN,Balanced,Small
SGP,NLD,2012,11,15,-4,2010s,SGP-NLD,Net flow back to origin,Very Large
NZL,IND,2021,9,20,-11,2020s,NZL-IND,Net flow back to origin,Large
HUN,BRA,2016,2,2,0,2010s,HUN-BRA,Balanced,Medium
DZA,ROU,2011,1,1,0,2010s,DZA-ROU,Balanced,Small
CHE,ROU,2014,5,3,2,2010s,CHE-ROU,Net flow to destination,Large
FRA,JOR,2013,4,3,1,2010s,FRA-JOR,Net flow to destination,Large
JOR,FRA,2015,4,1,3,2010s,JOR-FRA,Net flow to destination,Large
IRL,EGY,2015,1,1,0,2010s,IRL-EGY,Balanced,Small
ROU,IND,2014,3,1,2,2010s,ROU-IND,Net flow to destination,Medium
EST,ITA,2011,1,2,-1,2010s,EST-ITA,Net flow back to origin,Small
EST,ITA,2021,6,1,5,2020s,EST-ITA,Net flow to destination,Large
CHE,ZAF,2012,14,13,1,2010s,CHE-ZAF,Net flow to destination,Very Large
VNM,ITA,2009,3,1,2,2000s,VNM-ITA,Net flow to destination,Medium
DNK,MEX,2017,5,3,2,2010s,DNK-MEX,Net flow to destination,Large
SWE,CZE,2013,9,8,1,2010s,SWE-CZE,Net flow to destination,Large
JOR,IRQ,2020,9,2,7,2020s,JOR-IRQ,Net flow to destination,Large
IRN,AZE,2011,3,10,-7,2010s,IRN-AZE,Net flow back to origin,Medium
JOR,SWE,2019,2,1,1,2010s,JOR-SWE,Net flow to destination,Medium
PRT,JPN,2010,3,1,2,2010s,PRT-JPN,Net flow to destination,Medium
POL,FIN,2009,4,3,1,2000s,POL-FIN,Net flow to destination,Large
BRN,AUS,2018,4,2,2,2010s,BRN-AUS,Net flow to destination,Large
SWE,ZAF,2013,8,9,-1,2010s,SWE-ZAF,Net flow back to origin,Large
VNM,MYS,2013,1,2,-1,2010s,VNM-MYS,Net flow back to origin,Small
IRN,HUN,2014,2,2,0,2010s,IRN-HUN,Balanced,Medium
VNM,BEL,2012,6,7,-1,2010s,VNM-BEL,Net flow back to origin,Large
USA,OMN,2009,6,7,-1,2000s,USA-OMN,Net flow back to origin,Large
KOR,KEN,2014,1,2,-1,2010s,KOR-KEN,Net flow back to origin,Small
MEX,JPN,2012,4,5,-1,2010s,MEX-JPN,Net flow back to origin,Large
CHN,PHL,2016,1,4,-3,2010s,CHN-PHL,Net flow back to origin,Small
GEO,GBR,2014,2,2,0,2010s,GEO-GBR,Balanced,Medium
JPN,NOR,2016,9,7,2,2010s,JPN-NOR,Net flow to destination,Large
URY,GBR,2014,2,1,1,2010s,URY-GBR,Net flow to destination,Medium
GUF,FRA,1998,2,9,-7,1990s,GUF-FRA,Net flow back to origin,Medium
POL,JPN,2013,11,9,2,2010s,POL-JPN,Net flow to destination,Very Large
ZAF,CHN,2009,4,6,-2,2000s,ZAF-CHN,Net flow back to origin,Large
IND,TTO,2015,3,2,1,2010s,IND-TTO,Net flow to destination,Medium
SRB,CZE,2020,5,3,2,2020s,SRB-CZE,Net flow to destination,Large
NLD,ARE,2020,4,6,-2,2020s,NLD-ARE,Net flow back to origin,Large
TUN,AUT,2016,1,1,0,2010s,TUN-AUT,Balanced,Small
SWE,LVA,2012,5,4,1,2010s,SWE-LVA,Net flow to destination,Large
MEX,ZAF,2020,3,1,2,2020s,MEX-ZAF,Net flow to destination,Medium
ECU,FRA,2019,7,8,-1,2010s,ECU-FRA,Net flow back to origin,Large
KEN,SWE,2020,6,4,2,2020s,KEN-SWE,Net flow to destination,Large
IDN,SAU,2020,1,9,-8,2020s,IDN-SAU,Net flow back to origin,Small
TLS,IDN,2022,1,2,-1,2020s,TLS-IDN,Net flow back to origin,Small
HKG,IRN,2023,3,4,-1,2020s,HKG-IRN,Net flow back to origin,Medium
FIN,MAR,2022,2,5,-3,2020s,FIN-MAR,Net flow back to origin,Medium
FRA,HKG,2004,5,2,3,2000s,FRA-HKG,Net flow to destination,Large
QAT,BGD,2023,3,4,-1,2020s,QAT-BGD,Net flow back to origin,Medium
LVA,FIN,2022,2,2,0,2020s,LVA-FIN,Balanced,Medium
VNM,CAN,2022,7,6,1,2020s,VNM-CAN,Net flow to destination,Large
CHN,COG,2020,1,1,0,2020s,CHN-COG,Balanced,Small
DEU,ZMB,2023,3,1,2,2020s,DEU-ZMB,Net flow to destination,Medium
SGP,SAU,2009,3,1,2,2000s,SGP-SAU,Net flow to destination,Medium
PAK,ZAF,2021,3,4,-1,2020s,PAK-ZAF,Net flow back to origin,Medium
IRL,FRA,2023,24,19,5,2020s,IRL-FRA,Net flow to destination,Very Large
IND,TZA,2019,3,2,1,2010s,IND-TZA,Net flow to destination,Medium
FIN,THA,2011,2,3,-1,2010s,FIN-THA,Net flow back to origin,Medium
GRC,SRB,2007,4,8,-4,2000s,GRC-SRB,Net flow back to origin,Large
ZWE,MWI,2009,2,2,0,2000s,ZWE-MWI,Balanced,Medium
BEL,PRT,2020,13,28,-15,2020s,BEL-PRT,Net flow back to origin,Very Large
GEO,DEU,2020,7,4,3,2020s,GEO-DEU,Net flow to destination,Large
HUN,POL,2023,4,4,0,2020s,HUN-POL,Balanced,Large
IDN,AUS,1997,4,3,1,1990s,IDN-AUS,Net flow to destination,Large
PHL,HKG,2023,3,2,1,2020s,PHL-HKG,Net flow to destination,Medium
GRC,EGY,2022,3,2,1,2020s,GRC-EGY,Net flow to destination,Medium
GBR,PHL,2000,2,2,0,2000s,GBR-PHL,Balanced,Medium
BEL,ROU,2017,9,7,2,2010s,BEL-ROU,Net flow to destination,Large
MOZ,GBR,2008,1,1,0,2000s,MOZ-GBR,Balanced,Small
RUS,BGR,2022,3,4,-1,2020s,RUS-BGR,Net flow back to origin,Medium
SRB,FRA,2020,5,11,-6,2020s,SRB-FRA,Net flow back to origin,Large
ARE,BHR,2020,1,3,-2,2020s,ARE-BHR,Net flow back to origin,Small
SAU,IDN,2018,4,3,1,2010s,SAU-IDN,Net flow to destination,Large
BLR,ISR,2020,2,1,1,2020s,BLR-ISR,Net flow to destination,Medium
NLD,QAT,2022,1,6,-5,2020s,NLD-QAT,Net flow back to origin,Small
DEU,URY,2013,2,1,1,2010s,DEU-URY,Net flow to destination,Medium
CAN,CYP,2016,2,6,-4,2010s,CAN-CYP,Net flow back to origin,Medium
HUN,NZL,2021,1,3,-2,2020s,HUN-NZL,Net flow back to origin,Small
CAN,JOR,2023,4,4,0,2020s,CAN-JOR,Balanced,Large
JPN,NZL,2019,11,10,1,2010s,JPN-NZL,Net flow to destination,Very Large
POL,IRN,2021,2,32,-30,2020s,POL-IRN,Net flow back to origin,Medium
SAU,IND,2002,6,11,-5,2000s,SAU-IND,Net flow back to origin,Large
USA,BLR,2009,3,8,-5,2000s,USA-BLR,Net flow back to origin,Medium
VNM,CAN,2016,2,5,-3,2010s,VNM-CAN,Net flow back to origin,Medium
MEX,VEN,2021,3,6,-3,2020s,MEX-VEN,Net flow back to origin,Medium
HUN,ESP,2022,4,3,1,2020s,HUN-ESP,Net flow to destination,Large
HUN,AUT,2001,8,6,2,2000s,HUN-AUT,Net flow to destination,Large
DNK,ARG,2021,1,8,-7,2020s,DNK-ARG,Net flow back to origin,Small
BEL,ARG,2007,2,1,1,2000s,BEL-ARG,Net flow to destination,Medium
PRI,BRA,2011,4,4,0,2010s,PRI-BRA,Balanced,Large
ZWE,NLD,2013,3,2,1,2010s,ZWE-NLD,Net flow to destination,Medium
GBR,IDN,2005,7,1,6,2000s,GBR-IDN,Net flow to destination,Large
ISR,CZE,2014,1,1,0,2010s,ISR-CZE,Balanced,Small
ZAF,SWZ,2011,6,2,4,2010s,ZAF-SWZ,Net flow to destination,Large
USA,CYP,1999,6,2,4,1990s,USA-CYP,Net flow to destination,Large
GBR,TTO,2000,3,4,-1,2000s,GBR-TTO,Net flow back to origin,Medium
FRA,NER,2002,2,5,-3,2000s,FRA-NER,Net flow back to origin,Medium
AUT,PER,2011,1,1,0,2010s,AUT-PER,Balanced,Small
DEU,MYS,2004,5,1,4,2000s,DEU-MYS,Net flow to destination,Large
JPN,SVK,2000,2,6,-4,2000s,JPN-SVK,Net flow back to origin,Medium
EGY,PSE,2020,3,2,1,2020s,EGY-PSE,Net flow to destination,Medium
FRA,UKR,2015,8,14,-6,2010s,FRA-UKR,Net flow back to origin,Large
NLD,ARG,2018,5,7,-2,2010s,NLD-ARG,Net flow back to origin,Large
LKA,DEU,2006,1,4,-3,2000s,LKA-DEU,Net flow back to origin,Small
FRA,ECU,2003,1,10,-9,2000s,FRA-ECU,Net flow back to origin,Small
USA,UGA,2002,8,5,3,2000s,USA-UGA,Net flow to destination,Large
USA,LIE,2005,2,2,0,2000s,USA-LIE,Balanced,Medium
CAN,IDN,2006,1,1,0,2000s,CAN-IDN,Balanced,Small
IDN,DEU,1997,2,2,0,1990s,IDN-DEU,Balanced,Medium
SRB,FRA,1998,3,3,0,1990s,SRB-FRA,Balanced,Medium
SGP,NLD,2005,5,3,2,2000s,SGP-NLD,Net flow to destination,Large
ESP,AUS,2000,5,7,-2,2000s,ESP-AUS,Net flow back to origin,Large
AUS,BEL,2007,11,18,-7,2000s,AUS-BEL,Net flow back to origin,Very Large
DEU,IDN,1997,2,2,0,1990s,DEU-IDN,Balanced,Medium
GEO,RUS,1997,2,3,-1,1990s,GEO-RUS,Net flow back to origin,Medium
PRT,JPN,2000,4,2,2,2000s,PRT-JPN,Net flow to destination,Large
SAU,AUS,1997,2,4,-2,1990s,SAU-AUS,Net flow back to origin,Medium
BEL,POL,2010,8,14,-6,2010s,BEL-POL,Net flow back to origin,Large
SGP,NLD,2002,2,2,0,2000s,SGP-NLD,Balanced,Medium
CHE,SVN,1997,1,2,-1,1990s,CHE-SVN,Net flow back to origin,Small
ISR,ESP,1999,6,6,0,1990s,ISR-ESP,Balanced,Large
NLD,GRC,2000,8,9,-1,2000s,NLD-GRC,Net flow back to origin,Large
BRA,RUS,2021,3,9,-6,2020s,BRA-RUS,Net flow back to origin,Medium
MDA,DEU,2003,2,2,0,2000s,MDA-DEU,Balanced,Medium
EGY,DEU,1998,10,17,-7,1990s,EGY-DEU,Net flow back to origin,Large
ITA,GEO,2018,3,2,1,2010s,ITA-GEO,Net flow to destination,Medium
HKG,JPN,2008,8,17,-9,2000s,HKG-JPN,Net flow back to origin,Large
FRA,NER,1997,3,6,-3,1990s,FRA-NER,Net flow back to origin,Medium
SGP,PHL,2016,4,10,-6,2010s,SGP-PHL,Net flow back to origin,Large
AUS,MEX,1999,3,1,2,1990s,AUS-MEX,Net flow to destination,Medium
IND,BEL,1997,6,6,0,1990s,IND-BEL,Balanced,Large
CUB,PRT,2010,2,3,-1,2010s,CUB-PRT,Net flow back to origin,Medium
FRA,REU,1999,4,2,2,1990s,FRA-REU,Net flow to destination,Large
USA,PSE,2004,2,1,1,2000s,USA-PSE,Net flow to destination,Medium
CAN,URY,2006,1,2,-1,2000s,CAN-URY,Net flow back to origin,Small
JPN,GRC,2009,7,2,5,2000s,JPN-GRC,Net flow to destination,Large
GTM,USA,2015,7,13,-6,2010s,GTM-USA,Net flow back to origin,Large
AUS,PHL,2001,10,3,7,2000s,AUS-PHL,Net flow to destination,Large
AUS,ESP,2003,13,14,-1,2000s,AUS-ESP,Net flow back to origin,Very Large
AUS,BEL,1998,7,4,3,1990s,AUS-BEL,Net flow to destination,Large
BLR,UKR,2000,3,2,1,2000s,BLR-UKR,Net flow to destination,Medium
CHL,RUS,2011,3,3,0,2010s,CHL-RUS,Balanced,Medium
GRC,ESP,2004,6,4,2,2000s,GRC-ESP,Net flow to destination,Large
NLD,ISR,1997,6,3,3,1990s,NLD-ISR,Net flow to destination,Large
GBR,ZWE,1998,8,6,2,1990s,GBR-ZWE,Net flow to destination,Large
RUS,GEO,2003,6,7,-1,2000s,RUS-GEO,Net flow back to origin,Large
GEO,GBR,2004,3,1,2,2000s,GEO-GBR,Net flow to destination,Medium
GBR,GEO,2005,1,3,-2,2000s,GBR-GEO,Net flow back to origin,Small
GBR,MLT,2007,1,1,0,2000s,GBR-MLT,Balanced,Small
JOR,JPN,2016,1,2,-1,2010s,JOR-JPN,Net flow back to origin,Small
CZE,NOR,1998,2,2,0,1990s,CZE-NOR,Balanced,Medium
IND,BWA,2009,1,2,-1,2000s,IND-BWA,Net flow back to origin,Small
THA,BEL,2000,3,2,1,2000s,THA-BEL,Net flow to destination,Medium
POL,MEX,2017,3,2,1,2010s,POL-MEX,Net flow to destination,Medium
BHR,USA,2010,3,3,0,2010s,BHR-USA,Balanced,Medium
COG,UGA,2009,1,2,-1,2000s,COG-UGA,Net flow back to origin,Small
DEU,MDG,2009,2,1,1,2000s,DEU-MDG,Net flow to destination,Medium
MDG,DEU,2011,2,2,0,2010s,MDG-DEU,Balanced,Medium
NZL,BRA,2014,6,1,5,2010s,NZL-BRA,Net flow to destination,Large
DEU,MDG,2011,2,2,0,2010s,DEU-MDG,Balanced,Medium
ESP,ROU,2013,5,12,-7,2010s,ESP-ROU,Net flow back to origin,Large
NLD,BGR,2009,1,3,-2,2000s,NLD-BGR,Net flow back to origin,Small
USA,CUB,2000,5,14,-9,2000s,USA-CUB,Net flow back to origin,Large
IRL,ITA,1997,3,6,-3,1990s,IRL-ITA,Net flow back to origin,Medium
SRB,AUS,2012,2,1,1,2010s,SRB-AUS,Net flow to destination,Medium
PHL,IND,2008,4,3,1,2000s,PHL-IND,Net flow to destination,Large
BGR,ROU,2020,4,3,1,2020s,BGR-ROU,Net flow to destination,Large
THA,IND,2011,3,9,-6,2010s,THA-IND,Net flow back to origin,Medium
FRA,SYR,2017,5,6,-1,2010s,FRA-SYR,Net flow back to origin,Large
BGR,FRA,2018,9,7,2,2010s,BGR-FRA,Net flow to destination,Large
ISR,HUN,2006,1,1,0,2000s,ISR-HUN,Balanced,Small
EGY,ITA,2010,6,9,-3,2010s,EGY-ITA,Net flow back to origin,Large
GBR,LSO,2011,1,2,-1,2010s,GBR-LSO,Net flow back to origin,Small
BHS,USA,2014,2,3,-1,2010s,BHS-USA,Net flow back to origin,Medium
USA,BHS,2023,2,1,1,2020s,USA-BHS,Net flow to destination,Medium
NLD,CRI,2003,2,2,0,2000s,NLD-CRI,Balanced,Medium
KOR,AUT,2007,3,1,2,2000s,KOR-AUT,Net flow to destination,Medium
IND,LKA,2006,3,1,2,2000s,IND-LKA,Net flow to destination,Medium
TUR,POL,2019,4,2,2,2010s,TUR-POL,Net flow to destination,Large
HTI,USA,2023,3,2,1,2020s,HTI-USA,Net flow to destination,Medium
THA,SWE,2016,8,9,-1,2010s,THA-SWE,Net flow back to origin,Large
CZE,MEX,2015,3,1,2,2010s,CZE-MEX,Net flow to destination,Medium
ROU,PRT,2013,4,1,3,2010s,ROU-PRT,Net flow to destination,Large
IRN,ZAF,2009,1,2,-1,2000s,IRN-ZAF,Net flow back to origin,Small
ROU,POL,1999,1,1,0,1990s,ROU-POL,Balanced,Small
AUS,MEX,2020,11,7,4,2020s,AUS-MEX,Net flow to destination,Very Large
AUT,TWN,2015,1,2,-1,2010s,AUT-TWN,Net flow back to origin,Small
FRA,MYS,2011,8,3,5,2010s,FRA-MYS,Net flow to destination,Large
USA,MLI,2013,4,5,-1,2010s,USA-MLI,Net flow back to origin,Large
IRL,JPN,2019,4,9,-5,2010s,IRL-JPN,Net flow back to origin,Large
IRQ,AUS,2007,1,1,0,2000s,IRQ-AUS,Balanced,Small
ITA,NZL,2011,4,4,0,2010s,ITA-NZL,Balanced,Large
NZL,ITA,2012,4,3,1,2010s,NZL-ITA,Net flow to destination,Large
PRI,BRA,2009,3,2,1,2000s,PRI-BRA,Net flow to destination,Medium
BIH,USA,2007,4,6,-2,2000s,BIH-USA,Net flow back to origin,Large
RWA,KEN,2013,1,1,0,2010s,RWA-KEN,Balanced,Small
AUT,IRL,2008,4,4,0,2000s,AUT-IRL,Balanced,Large
ETH,BEL,2009,2,4,-2,2000s,ETH-BEL,Net flow back to origin,Medium
CZE,HRV,2017,4,3,1,2010s,CZE-HRV,Net flow to destination,Large
USA,MDG,2006,3,1,2,2000s,USA-MDG,Net flow to destination,Medium
NLD,HKG,2015,3,4,-1,2010s,NLD-HKG,Net flow back to origin,Medium
VCT,IND,2015,1,1,0,2010s,VCT-IND,Balanced,Small
AUT,SAU,2018,1,2,-1,2010s,AUT-SAU,Net flow back to origin,Small
CMR,JPN,2012,2,3,-1,2010s,CMR-JPN,Net flow back to origin,Medium
USA,GTM,2014,7,9,-2,2010s,USA-GTM,Net flow back to origin,Large
LKA,BRN,2014,2,1,1,2010s,LKA-BRN,Net flow to destination,Medium
CAN,TUN,2007,4,2,2,2000s,CAN-TUN,Net flow to destination,Large
MYS,NLD,2007,1,4,-3,2000s,MYS-NLD,Net flow back to origin,Small
POL,SGP,2022,4,6,-2,2020s,POL-SGP,Net flow back to origin,Large
SGP,POL,2023,4,1,3,2020s,SGP-POL,Net flow to destination,Large
BFA,SEN,2014,2,6,-4,2010s,BFA-SEN,Net flow back to origin,Medium
AUS,HUN,2021,2,6,-4,2020s,AUS-HUN,Net flow back to origin,Medium
QAT,ITA,2021,5,8,-3,2020s,QAT-ITA,Net flow back to origin,Large
THA,FRA,2018,14,39,-25,2010s,THA-FRA,Net flow back to origin,Very Large
IND,HRV,2016,2,3,-1,2010s,IND-HRV,Net flow back to origin,Medium
SAU,SRB,2015,1,1,0,2010s,SAU-SRB,Balanced,Small
CUB,CHN,2023,3,2,1,2020s,CUB-CHN,Net flow to destination,Medium
GRC,ESP,2001,6,3,3,2000s,GRC-ESP,Net flow to destination,Large
MAR,ITA,2012,2,5,-3,2010s,MAR-ITA,Net flow back to origin,Medium
MEX,PRT,2018,7,4,3,2010s,MEX-PRT,Net flow to destination,Large
DEU,MYS,2015,7,17,-10,2010s,DEU-MYS,Net flow back to origin,Large
SVK,RUS,2017,3,5,-2,2010s,SVK-RUS,Net flow back to origin,Medium
ESP,CMR,2021,2,1,1,2020s,ESP-CMR,Net flow to destination,Medium
POL,JPN,2003,9,17,-8,2000s,POL-JPN,Net flow back to origin,Large
DNK,RUS,2002,6,10,-4,2000s,DNK-RUS,Net flow back to origin,Large
IND,NER,2011,1,1,0,2010s,IND-NER,Balanced,Small
MLI,IND,2016,1,1,0,2010s,MLI-IND,Balanced,Small
ITA,PRT,1997,3,4,-1,1990s,ITA-PRT,Net flow back to origin,Medium
EST,ZAF,2018,1,1,0,2010s,EST-ZAF,Balanced,Small
TUN,ARE,2019,6,2,4,2010s,TUN-ARE,Net flow to destination,Large
SRB,PRT,2004,4,4,0,2000s,SRB-PRT,Balanced,Large
NLD,COG,2017,1,1,0,2010s,NLD-COG,Balanced,Small
TUN,ESP,2013,5,10,-5,2010s,TUN-ESP,Net flow back to origin,Large
NZL,THA,2015,2,6,-4,2010s,NZL-THA,Net flow back to origin,Medium
PNG,AUS,2014,7,7,0,2010s,PNG-AUS,Balanced,Large
FRA,SVN,2012,7,6,1,2010s,FRA-SVN,Net flow to destination,Large
